Üst Parça (Parent);Alt Parça (Child);Miktar;uretim_sekli;malzeme;malzeme_ebat;alt_kod;revizyon;tarih
E2UPAN02;P3CPPB05;1;Painting (Boyama);N/A;N/A;P3CPIN05;01;1.01.2021
P3CPPB05;P3CPIN05;1;Plastic Injection (Plastik Baskı);Lexan EXL 5689;N/A;P1RPGR02;01;1.01.2021
E2UPAN02;E1KPRN01;1;Off the shelf (Hazır);N/A;N/A;N/A;01;1.01.2021
E2UPAN02;E1JSRN01;1;Off the shelf (Hazır);N/A;N/A;N/A;01;1.01.2021
E2UPAN02;P3CPIN04;1;Plastic Injection (Plastik Baskı);Lexan EXL 5689;N/A;P1RPGR02;01;1.01.2021
TEKRMD_M1;P3CPPG02;1;Painting (Boyama);N/A;N/A;P3CPIN02;01;1.01.2021
TEKRMD_M1;P3CPPG03;1;Painting (Boyama);N/A;N/A;P3CPIN03;01;1.01.2021
TEKRMD_M1;P1CPINA1;1;Off the shelf (Hazır);N/A;N/A;N/A;01;1.01.2021
TEKRMD_M1;M2F1AN01;1;Assembly (Montaj);N/A;N/A;N/A;01;1.01.2021
M2F1AN01;DIN7991;2;;;;;01;1.01.2021
M2F1AN01;M3F2PB04;1;Cataphoresis (Kataforez);N/A;N/A;M2F2WN01;01;1.01.2021
M3F2PB04;M2F2WN01;1;Welding (Kaynak);N/A;N/A;N/A;01;1.01.2021
M2F2WN01;M2F2SN03;1;Machining (İşleme);St37;N/A;M3F2LN05;01;1.01.2021
M2F2SN03;M3F2LN05;1;Laser Cut (Lazer);St37;N/A;N/A;01;1.01.2021
M2F2WN01;M3F2LN04;2;Laser Cut (Lazer);St37;N/A;N/A;01;1.01.2021
M2F1AN01;M3F2PB03;2;Cataphoresis (Kataforez);N/A;N/A;M2F2HN02;01;1.01.2021
M3F2PB03;M2F2HN02;1;Machining (İşleme);St37;N/A;M3F2LN07;01;1.01.2021
M2F2HN02;M3F2LN07;1;Laser Cut (Lazer);St37;N/A;N/A;01;1.01.2021
M2F1AN01;M3F2PB02;2;Cataphoresis (Kataforez);N/A;N/A;M2F2SN04;01;1.01.2021
M3F2PB02;M2F2SN04;1;Machining (İşleme);St37;N/A;M3F2LN06;01;1.01.2021
M2F2SN04;M3F2LN06;1;Laser Cut (Lazer);St37;N/A;N/A;01;1.01.2021
TEKRMD_M1;M2MTAN01;1;Assembly (Montaj);N/A;N/A;N/A;01;1.01.2021
M2MTAN01;M1MTRN01;1;Off the shelf (Hazır);N/A;N/A;N/A;01;1.01.2021
M2MTAN01;DIN7380;4;;;;;01;1.01.2021
M2MTAN01;DIN127;6;;;;;01;1.01.2021
M2MTAN01;DIN127;4;;;;;01;1.01.2021
M2MTAN01;DIN127;4;;;;;01;1.01.2021
M2MTAN01;M3MTRN02;1;Milling (Freze);N/A;N/A;M1MTRN02;01;1.01.2021
M2MTAN01;M1MTRN03;1;Off the shelf (Hazır);N/A;N/A;N/A;01;1.01.2021
M2MTAN01;M1MTRN04;1;Off the shelf (Hazır);N/A;N/A;N/A;01;1.01.2021
M2MTAN01;M1MTRN05;1;Off the shelf (Hazır);N/A;N/A;N/A;01;1.01.2021
M2MTAN01;DIN7380;2;;;;;01;1.01.2021
M2MTAN01;M1BBRN02;1;Off the shelf (Hazır);N/A;N/A;N/A;01;1.01.2021
