Üst Parça (Parent);Alt Parça (Child);Miktar;uretim_sekli;malzeme;malzeme_ebat;alt_kod;revizyon;tarih
TEKRMD_M1;DIN7380;1;;;;;01;1.01.2021
TEKRMD_M1;M1WHRN07;2;Assembly (Montaj);N/A;N/A;N/A;01;1.01.2021
TEKRMD_M1;DIN127;30;;;;;01;1.01.2021
TEKRMD_M1;M2WHAN02;2;Assembly (Montaj);N/A;N/A;N/A;01;1.01.2021
M2WHAN02;DIN931;1;;;;;01;1.01.2021
M2WHAN02;M1WHRN02;1;Off the shelf (Hazır);N/A;N/A;N/A;01;1.01.2021
M2WHAN02;DIN985;1;;;;;01;1.01.2021
M2WHAN02;DIN127;1;;;;;01;1.01.2021
TEKRMD_M1;M2T1AN01;1;Assembly (Montaj);N/A;N/A;N/A;01;1.01.2021
M2T1AN01;DIN7991;8;;;;;01;1.01.2021
M2T1AN01;DIN127;2;;;;;01;1.01.2021
M2T1AN01;DIN933;2;;;;;01;1.01.2021
M2T1AN01;DIN985;2;;;;;01;1.01.2021
M2T1AN01;M3T2PB09;2;Cataphoresis (Kataforez);N/A;N/A;M3T2MN09;01;1.01.2021
M3T2PB09;M3T2MN09;1;Milling (Freze);Aluminium 5754 H111;N/A;M3T2BN03;01;1.01.2021
M3T2MN09;M3T2BN03;1;Bending (Büküm);Aluminium 5754 H111;N/A;M3T2LN12;01;1.01.2021
M3T2BN03;M3T2LN12;1;Laser Cut (Lazer);Aluminium 5754 H111;N/A;N/A;01;1.01.2021
M2T1AN01;M3T2MN11;2;Milling (Freze);EN 1.4305 - AISI 303;N/A;M3T2TN08;01;1.01.2021
M3T2MN11;M3T2TN08;1;Lathe (Torna);EN 1.4305 - AISI 303;Ø18 x 120mm;RSCNB018;01;1.01.2021
M2T1AN01;M1BBRN02;2;Off the shelf (Hazır);N/A;N/A;N/A;01;1.01.2021
M2T1AN01;DIN472;2;;;;;01;1.01.2021
M2T1AN01;M3T2PB10;2;Cataphoresis (Kataforez);N/A;N/A;M3T2MN10;01;1.01.2021
M3T2PB10;M3T2MN10;1;Milling (Freze);Aluminium 7075 T6;N/A;M3T2TN07;01;1.01.2021
M3T2MN10;M3T2TN07;1;Lathe (Torna);Aluminium 7075 T6;Ø62 x 35mm;RAC7K062;01;1.01.2021
M2T1AN01;M3T2PB08;1;Cataphoresis (Kataforez);N/A;N/A;M2T2WN02;01;1.01.2021
M3T2PB08;M2T2WN02;1;Welding (Kaynak);N/A;N/A;N/A;02;1.01.1753
M2T2WN02;M3T2MN12;1;Milling (Freze);Aluminium 6082;70x70 x 172mm;RAL6K770;02;30.09.2022
M2T2WN02;M3T2LN11;2;Laser Cut (Lazer);Aluminium 5754 H111;N/A;N/A;01;1.01.2021
M2T2WN02;M3T2BN04;1;Bending (Büküm);Aluminium 5754 H111;N/A;M2T2SN02;02;17.10.2022
M3T2BN04;M2T2SN02;1;Machining (İşleme);Aluminium 5754 H111;N/A;M3T2MN16;01;1.01.2021
M2T2SN02;M3T2MN16;1;Milling (Freze);Aluminium 5754 H111;N/A;M3T2LN09;01;1.01.2021
M3T2MN16;M3T2LN09;1;Laser Cut (Lazer);Aluminium 5754 H111;N/A;N/A;02;17.10.2022
M2T2WN02;M3T2LN10;2;Laser Cut (Lazer);Aluminium 5754 H111;N/A;N/A;02;23.11.2021
M2T1AN01;M3T2TN05;4;Lathe (Torna);EN 1.4305 - AISI 303;Ø18 x 11mm;RSCNB018;01;1.01.2021
M2T1AN01;M3T2MN08;1;Milling (Freze);Aluminium 7075 T6;N/A;M3T2TN06;01;1.01.2021
M3T2MN08;M3T2TN06;1;Lathe (Torna);Aluminium 7075 T6;Ø30 x 388mm;RAC7K030;02;30.09.2022
M2T1AN01;DIN912;2;;;;;01;1.01.2021
M2T1AN01;DIN985;2;;;;;01;1.01.2021
M2T1AN01;M1TRRN08;1;Off the shelf (Hazır);N/A;N/A;N/A;01;1.01.2021
TEKRMD_M1;DIN7380;10;;;;;01;1.01.2021
TEKRMD_M1;M2T2AN01;1;Assembly (Montaj);N/A;N/A;N/A;01;1.01.2021
M2T2AN01;DIN127;2;;;;;01;1.01.2021
M2T2AN01;DIN7380;2;;;;;01;1.01.2021
M2T2AN01;M1BBRN05;2;Off the shelf (Hazır);N/A;N/A;N/A;01;1.01.2021
M2T2AN01;M3T2PB04;1;Cataphoresis (Kataforez);N/A;N/A;M3T2MN04;01;1.01.2021
M3T2PB04;M3T2MN04;1;Milling (Freze);SAE 1010 Cold Drawn;N/A;M3T2TN03;01;1.01.2021
M3T2MN04;M3T2TN03;1;Lathe (Torna);SAE 1040 Cold Drawn;Ø63 x 192mm;RCCNK063;01;1.01.2021
M2T2AN01;M3T2PB05;1;Cataphoresis (Kataforez);N/A;N/A;M3T2MN05;01;1.01.2021
M3T2PB05;M3T2MN05;1;Milling (Freze);SAE 1040 Cold Drawn;25x35 x 76mm;RCLNK235;01;1.01.2021
TEKRMD_M1;M2L1AN02;1;Assembly (Montaj);N/A;N/A;N/A;01;1.01.2021
M2L1AN02;DIN912;4;;;;;01;1.01.2021
M2L1AN02;DIN127;4;;;;;01;1.01.2021
M2L1AN02;DIN127;6;;;;;01;1.01.2021
M2L1AN02;M3L2PB20;1;Cataphoresis (Kataforez);N/A;N/A;M3L2BN20;01;1.01.2021
M3L2PB20;M3L2BN20;1;Bending (Büküm);St37;N/A;M3L2LN20;01;1.01.2021
M3L2BN20;M3L2LN20;1;Laser Cut (Lazer);St37;N/A;N/A;01;1.01.2021
M2L1AN02;M3L1PB02;1;Cataphoresis (Kataforez);N/A;N/A;M2L1WN02;01;1.01.2021
M3L1PB02;M2L1WN02;1;Welding (Kaynak);N/A;N/A;N/A;02;30.09.2022
M2L1WN02;M3L2BN07;1;Bending (Büküm);St37;N/A;M3L2LN07;01;1.01.2021
M3L2BN07;M3L2LN07;1;Laser Cut (Lazer);St37;N/A;N/A;01;1.01.2021
M2L1WN02;M3L2LN04;1;Laser Cut (Lazer);St37;N/A;N/A;01;1.01.2021
M2L1WN02;M3L2BN10;1;Bending (Büküm);St37;N/A;M3L2LN07;01;1.01.2021
M3L2BN10;M3L2LN07;1;Laser Cut (Lazer);St37;N/A;N/A;01;1.01.2021
M2L1WN02;M2L2SN08;2;Machining (İşleme);St37;N/A;M3L2LN08;01;1.01.2021
M2L2SN08;M3L2LN08;1;Laser Cut (Lazer);St37;N/A;N/A;01;1.01.2021
M2L1WN02;M2L2SN09;2;Machining (İşleme);St37;N/A;M3L2LN09;01;1.01.2021
M2L2SN09;M3L2LN09;1;Laser Cut (Lazer);St37;N/A;N/A;01;1.01.2021
M2L1WN02;M2L2SN04;1;Machining (İşleme);St37;N/A;M2L2WN20;01;1.01.2021
M2L2SN04;M2L2WN20;1;Welding (Kaynak);N/A;N/A;N/A;01;1.01.2021
M2L2WN20;M2L2SN23;2;Machining (İşleme);St37;N/A;M3L2LN23;01;1.01.2021
M2L2SN23;M3L2LN23;1;Laser Cut (Lazer);St37;N/A;N/A;01;1.01.2021
M2L2WN20;M2L2SN06;1;Machining (İşleme);St37;N/A;M3L2LN14;01;1.01.2021
M2L2SN06;M3L2LN14;1;Laser Cut (Lazer);St37;60x60x4 x 380mm;N/A;01;1.01.2021
M2L2WN20;M3L2LN06;1;Laser Cut (Lazer);St37;N/A;N/A;01;1.01.2021
M2L1WN02;M3L2LN03;1;Laser Cut (Lazer);St37;N/A;N/A;01;1.01.2021
M2L1WN02;M2L2SN05;1;Machining (İşleme);St37;N/A;M3L2LN05;01;1.01.2021
M2L2SN05;M3L2LN05;1;Laser Cut (Lazer);St37;N/A;N/A;01;1.01.2021
M2L1WN02;M2L2SN01;1;Machining (İşleme);St37;N/A;M3L2LN01;02;30.09.2022
M2L2SN01;M3L2LN01;1;Laser Cut (Lazer);St37;N/A;N/A;02;30.09.2022
M2L1WN02;M3L2LN02;1;Laser Cut (Lazer);St37;N/A;N/A;01;1.01.2021
M2L1WN02;M3L2MN11;2;Milling (Freze);St37;40x20 x 322mm;RCLNK420;01;1.01.2021
M2L1WN02;M2L2SN16;2;Machining (İşleme);St37;N/A;M3L2LN16;01;1.01.2021
M2L2SN16;M3L2LN16;1;Laser Cut (Lazer);St37;N/A;N/A;01;1.01.2021
M2L1WN02;N1FTKN81;8;Off the shelf (Hazır);N/A;N/A;N/A;01;1.01.2021
M2L1WN02;M3L2LN12;2;Laser Cut (Lazer);St37;N/A;N/A;01;1.01.2021
M2L1WN02;M3L2MN10;1;Milling (Freze);St37;40x10 x 235mm;RCLNK410;02;9.03.2026
M2L1WN02;M2L2SN13;2;Machining (İşleme);St37;N/A;M3L2LN13;01;1.01.2021
M2L2SN13;M3L2LN13;1;Laser Cut (Lazer);St37;N/A;N/A;01;1.01.2021
M2L1WN02;M3L2LN21;2;Laser Cut (Lazer);St37;N/A;N/A;01;1.01.2021
M2L1WN02;M3L2LN19;2;Laser Cut (Lazer);St37;N/A;N/A;01;1.01.2021
M2L1AN02;DIN7985H;6;;;;;01;1.01.2021
M2L1AN02;M3L1PB03;1;Cataphoresis (Kataforez);N/A;N/A;M2L1WN20;02;6.03.2026
M3L1PB03;M2L1WN20;1;Welding (Kaynak);N/A;N/A;N/A;02;6.03.2026
M2L1WN20;M3L2TN21;1;Lathe (Torna);DIN2394 Çelik;Ø33.7x3 x 213mm;RCBNB033;01;1.01.2021
M2L1WN20;M3L2LN22;2;Laser Cut (Lazer);St37;N/A;N/A;01;1.01.2021
M2L1WN20;M3L2TN23;2;Lathe (Torna);SAE 1010 Cold Drawn;Ø35 x 18mm;RCCNB035;01;1.01.2021
M2L1AN02;M3L2PB30;1;Cataphoresis (Kataforez);N/A;N/A;M3L2BN30;01;1.01.2021
M3L2PB30;M3L2BN30;1;Bending (Büküm);St37;N/A;M3L2LN20;01;1.01.2021
M3L2BN30;M3L2LN20;1;Laser Cut (Lazer);St37;N/A;N/A;01;1.01.2021
TEKRMD_M1;M2T1AN03;1;Assembly (Montaj);N/A;N/A;N/A;01;1.01.2021
M2T1AN03;DIN7991;8;;;;;01;1.01.2021
M2T1AN03;M3T2PB07;2;Cataphoresis (Kataforez);N/A;N/A;M3T2MN07;01;1.01.2021
M3T2PB07;M3T2MN07;1;Milling (Freze);Aluminium 7075 T6;N/A;M3T2TN04;01;1.01.2021
M3T2MN07;M3T2TN04;1;Lathe (Torna);Aluminium 7075 T6;Ø62 x 45mm;RAC7K062;01;1.01.2021
M2T1AN03;DIN912;2;;;;;01;1.01.2021
M2T1AN03;DIN127;2;;;;;01;1.01.2021
M2T1AN03;M1TRRN08;1;Off the shelf (Hazır);N/A;N/A;N/A;01;1.01.2021
M2T1AN03;M3T2PB06;1;Cataphoresis (Kataforez);N/A;N/A;M2T2WN01;01;1.01.2021
M3T2PB06;M2T2WN01;1;Welding (Kaynak);N/A;N/A;N/A;01;1.01.2021
M2T2WN01;M3T2LN07;2;Laser Cut (Lazer);Aluminium 5754 H111;N/A;N/A;01;1.01.2021
M2T2WN01;M3T2BN01;1;Bending (Büküm);Aluminium 5754 H111;N/A;M2T2SN01;01;1.01.2021
M3T2BN01;M2T2SN01;1;Machining (İşleme);Aluminium 5754 H111;N/A;M3T2MN15;01;1.01.2021
M2T2SN01;M3T2MN15;1;Milling (Freze);Aluminium 5754 H111;N/A;M3T2LN06;01;1.01.2021
M3T2MN15;M3T2LN06;1;Laser Cut (Lazer);Aluminium 5754 H111;N/A;N/A;01;1.01.2021
M2T2WN01;M3T2LN08;2;Laser Cut (Lazer);Aluminium 5754 H111;N/A;N/A;01;1.01.2021
M2T2WN01;M3T2MN06;1;Milling (Freze);Aluminium 6082;70x70 x 123mm;RAL6K770;02;30.09.2022
M2T1AN03;M3T2MN13;1;Milling (Freze);Aluminium 7075 T6;N/A;M3T2TN09;01;1.01.2021
M3T2MN13;M3T2TN09;1;Lathe (Torna);Aluminium 7075 T6;Ø30 x 358mm;RAC7K030;02;30.09.2022
TEKRMD_M1;DIN912;23;;;;;01;1.01.2021
TEKRMD_M1;DIN912;22;;;;;01;1.01.2021
TEKRMD_M1;DIN912;6;;;;;01;1.01.2021
TEKRMD_M1;DIN7991;22;;;;;01;1.01.2021
TEKRMD_M1;DIN125;40;;;;;01;1.01.2021
TEKRMD_M1;E1MTRN02;1;Off the shelf (Hazır);N/A;N/A;N/A;01;1.01.2021
TEKRMD_M1;E1MTRN01;1;Off the shelf (Hazır);N/A;N/A;N/A;01;1.01.2021
TEKRMD_M1;P3CPPG20;1;Painting (Boyama);N/A;N/A;P3CPIN20;01;1.01.2021
TEKRMD_M1;P2CPAG24;1;Assembly (Montaj);N/A;N/A;N/A;01;1.01.2021
P2CPAG24;P3CPPG24;1;Painting (Boyama);N/A;N/A;P3CPIN24;01;1.01.2021
TEKRMD_M1;M2WHAN04;2;Machining (İşleme);N/A;N/A;N/A;01;1.01.2021
M2WHAN04;M3TRRN09;1;Milling (Freze);N/A;N/A;M1TRRN09;01;1.01.2021
M3TRRN09;M1TRRN09;1;Off the shelf (Hazır);N/A;N/A;N/A;01;1.01.2021
M2WHAN04;DIN127;1;;;;;01;1.01.2021
M2WHAN04;M1WHRN01;1;Off the shelf (Hazır);N/A;N/A;N/A;01;1.01.2021
M2WHAN04;DIN912;1;;;;;01;1.01.2021
M2WHAN04;N1FTTR12;1;Off the shelf (Hazır);N/A;N/A;N/A;01;1.01.2021
TEKRMD_M1;P3CPPG21;1;Painting (Boyama);N/A;N/A;P3CPIN21;01;1.01.2021
TEKRMD_M1;P2CPAG23;1;Assembly (Montaj);N/A;N/A;N/A;01;1.01.2021
P2CPAG23;P3CPPG23;1;Painting (Boyama);N/A;N/A;P3CPIN23;01;1.01.2021
TEKRMD_M1;M2WHAN03;2;Assembly (Montaj);N/A;N/A;N/A;01;1.01.2021
M2WHAN03;DIN912;6;;;;;01;1.01.2021
M2WHAN03;DIN127;6;;;;;01;1.01.2021
M2WHAN03;M1WHRN05;1;Off the shelf (Hazır);N/A;N/A;N/A;01;1.01.2021
M2WHAN03;N1FTTR12;1;Off the shelf (Hazır);N/A;N/A;N/A;01;1.01.2021
M2WHAN03;M3WHPB01;1;Painting (Boyama);N/A;N/A;M3WHMN01;01;1.01.2021
M3WHPB01;M3WHMN01;1;Milling (Freze);Aluminium 7075 T6;N/A;M3WHTN01;01;1.01.2021
M3WHMN01;M3WHTN01;1;Lathe (Torna);Aluminium 7075 T6;Ø130 x 120mm;RAC7K130;01;1.01.2021
M2WHAN03;M3TRRN09;1;Milling (Freze);N/A;N/A;M1TRRN09;01;1.01.2021
M2WHAN03;DIN912;1;;;;;01;1.01.2021
M2WHAN03;M3WHPB02;1;Painting (Boyama);N/A;N/A;M3WHMN02;01;1.01.2021
M3WHPB02;M3WHMN02;1;Milling (Freze);Aluminium 7075 T6;N/A;M3WHTN02;01;1.01.2021
M3WHMN02;M3WHTN02;1;Lathe (Torna);Aluminium 7075 T6;Ø130 x 40mm;RAC7K130;01;1.01.2021
M2WHAN03;DIN127;1;;;;;01;1.01.2021
TEKRMD_M1;P3CPPG22;1;Painting (Boyama);N/A;N/A;P3CPIN22;01;1.01.2021
TEKRMD_M1;E2MTAN03;2;Assembly (Montaj);N/A;N/A;N/A;01;1.01.2021
E2MTAN03;M3U2MN09;1;Milling (Freze);EN 1.4305 - AISI 303;N/A;M3U2TN09;01;1.01.2021
M3U2MN09;M3U2TN09;1;Lathe (Torna);EN 1.4305 - AISI 303;Ø20 x 40mm;RSCNB020;01;1.01.2021
E2MTAN03;DIN916;2;;;;;01;1.01.2021
E2MTAN03;E1MTRN03;1;Off the shelf (Hazır);N/A;N/A;N/A;01;1.01.2021
TEKRMD_M1;DIN7991;16;;;;;01;1.01.2021
TEKRMD_M1;DIN127;18;;;;;01;1.01.2021
TEKRMD_M1;DIN912;2;;;;;01;1.01.2021
TEKRMD_M1;M2U1AN04;1;Assembly (Montaj);N/A;N/A;N/A;01;1.01.2021
M2U1AN04;M3U2PB17;1;Cataphoresis (Kataforez);N/A;N/A;M3U2MN17;01;1.01.2021
M3U2PB17;M3U2MN17;1;Milling (Freze);SAE 1040 Cold Drawn;20x60 x 90mm;RCLNK260;02;24.10.2022
M2U1AN04;M3H1PB04;1;Cataphoresis (Kataforez);N/A;N/A;M2H1WN03;01;1.01.2021
M3H1PB04;M2H1WN03;1;Welding (Kaynak);N/A;N/A;N/A;02;24.10.2022
M2H1WN03;M3H2MN14;2;Milling (Freze);SAE 1010 Cold Drawn;N/A;M3H2TN02;01;1.01.2021
M3H2MN14;M3H2TN02;1;Lathe (Torna);SAE 1040 Cold Drawn;Ø63 x 42mm;RCCNK063;02;24.10.2022
M2H1WN03;M2H2SN01;2;Machining (İşleme);St37;N/A;M3H2LN14;01;1.01.2021
M2H2SN01;M3H2LN14;1;Laser Cut (Lazer);St37;N/A;N/A;01;1.01.2021
M2H1WN03;M3H2MN10;2;Milling (Freze);SAE 1040 Cold Drawn;40x35 x 85mm;RCLNK435;01;1.01.2021
M2H1WN03;M2H2HN02;1;Machining (İşleme);St37;N/A;M3H2LN21;01;1.01.2021
M2H2HN02;M3H2LN21;1;Laser Cut (Lazer);St37;40x40x4 x 238mm;N/A;02;9.03.2026
M2H1WN03;M3H2MN12;1;Milling (Freze);St37;N/A;M3H2BN13;01;1.01.2021
M3H2MN12;M3H2BN13;1;Bending (Büküm);St37;N/A;M3H2LN13;01;1.01.2021
M3H2BN13;M3H2LN13;1;Laser Cut (Lazer);St37;N/A;N/A;01;1.01.2021
M2H1WN03;M2H2HN01;1;Machining (İşleme);St37;N/A;M3H2LN20;02;9.03.2025
M2H2HN01;M3H2LN20;1;Laser Cut (Lazer);St37;40x40x4 x 238mm;N/A;02;9.03.2026
M2U1AN04;M3H2TN10;2;Lathe (Torna);2.0975 - C9580  CuAl10Ni;Ø20 x 41mm;RBCNB020;01;1.01.2021
M2U1AN04;M3M2TN05;2;Lathe (Torna);2.0975 - C9580  CuAl10Ni;Ø42 x 20mm;RBCNB042;01;1.01.2021
M2U1AN04;M3M2TN06;2;Lathe (Torna);S600 1.3343;Ø6.2 x 95mm;RCCOB006;01;1.01.2021
M2U1AN04;DIN933;2;;;;;01;1.01.2021
M2U1AN04;M3H2MN20;2;Milling (Freze);POM (Derlin) - BLACK Colour;15x15 x 40mm;RPLSB115;01;1.01.2021
M2U1AN04;M3H2TN16;2;Lathe (Torna);2.0975 - C9580  CuAl10Ni;Ø24 x 16mm;RBCNB024;01;1.01.2021
M2U1AN04;M3U1PB04;1;Cataphoresis (Kataforez);N/A;N/A;M2U1WN04;01;1.01.2021
M3U1PB04;M2U1WN04;1;Welding (Kaynak);N/A;N/A;N/A;02;24.10.2022
M2U1WN04;M3U2LN90;2;Laser Cut (Lazer);St37;N/A;N/A;01;1.01.2021
M2U1WN04;M3U2LN19;1;Laser Cut (Lazer);St37;40x40x4 x 291mm;N/A;01;1.01.2021
M2U1WN04;M3U2MN12;2;Milling (Freze);St37;N/A;M3U2LN05;01;1.01.2021
M3U2MN12;M3U2LN05;1;Laser Cut (Lazer);St37;N/A;N/A;01;1.01.2021
M2U1WN04;M3U2LN24;2;Laser Cut (Lazer);St37;20x40x3 x 120mm;N/A;01;1.01.2021
M2U1WN04;M3U2LN11;1;Laser Cut (Lazer);St37;N/A;N/A;01;1.01.2021
M2U1WN04;M3U2LN13;1;Laser Cut (Lazer);St37;N/A;N/A;01;1.01.2021
M2U1WN04;M3U2MN08;2;Milling (Freze);DIN2394 Çelik;N/A;M3U2TN01;01;1.01.2021
M3U2MN08;M3U2TN01;1;Lathe (Torna);DIN2394 Çelik;Ø51x3 x 40mm;RCBNB051;01;1.01.2021
M2U1WN04;M2U2SN02;2;Machining (İşleme);St37;N/A;M3U2LN04;02;24.10.2022
M2U2SN02;M3U2LN04;1;Laser Cut (Lazer);St37;N/A;N/A;02;24.10.2022
M2U1WN04;M2U2SN09;2;Machining (İşleme);St37;N/A;M3U2LN26;01;1.01.2021
M2U2SN09;M3U2LN26;1;Laser Cut (Lazer);St37;20x40x3 x 90mm;N/A;01;1.01.2021
M2U1WN04;M3U2LN07;1;Laser Cut (Lazer);St37;N/A;N/A;01;1.01.2021
M2U1WN04;M3U2LN20;1;Laser Cut (Lazer);St37;40x40x4 x 291mm;N/A;01;1.01.2021
M2U1WN04;M3U2MN11;2;Milling (Freze);St37;N/A;M3U2LN23;01;1.01.2021
M3U2MN11;M3U2LN23;1;Laser Cut (Lazer);St37;N/A;N/A;01;1.01.2021
M2U1WN04;M3U2LN06;1;Laser Cut (Lazer);St37;N/A;N/A;01;1.01.2021
M2U1WN04;M3U2LN08;1;Laser Cut (Lazer);St37;N/A;N/A;01;1.01.2021
M2U1WN04;M3U2LN09;1;Laser Cut (Lazer);St37;N/A;N/A;01;1.01.2021
M2U1WN04;M3U2LN10;1;Laser Cut (Lazer);St37;N/A;N/A;01;1.01.2021
M2U1WN04;M3U2LN12;1;Laser Cut (Lazer);St37;N/A;N/A;01;1.01.2021
M2U1WN04;M3U2LN14;1;Laser Cut (Lazer);St37;N/A;N/A;01;1.01.2021
M2U1WN04;M3U2LN17;2;Laser Cut (Lazer);St37;N/A;N/A;01;1.01.2021
M2U1WN04;M2U2SN07;2;Machining (İşleme);St37;N/A;M3U2LN16;01;1.01.2021
M2U2SN07;M3U2LN16;1;Laser Cut (Lazer);St37;N/A;N/A;01;1.01.2021
M2U1WN04;M2CHWN02;4;Welding (Kaynak);EN 1.4305 - AISI 303;N/A;M1CHRN02;01;1.01.2021
M2CHWN02;M1CHRN02;1;Off the shelf (Hazır);N/A;N/A;N/A;01;1.01.2021
M2U1WN04;M3CHEN02;2;Press (Pres);N/A;N/A;M2CHWN02;01;1.01.2021
M3CHEN02;M2CHWN02;1;Welding (Kaynak);EN 1.4305 - AISI 303;N/A;M1CHRN02;01;1.01.2021
M2U1WN04;M3U2MN10;1;Milling (Freze);SAE 1040 Cold Drawn;50x35 x 350mm;RCLNK535;02;24.10.2022
M2U1WN04;M3U2LN01;1;Laser Cut (Lazer);St37;N/A;N/A;02;24.10.2022
M2U1AN04;M3U2PB14;2;Cataphoresis (Kataforez);N/A;N/A;M3U2MN14;01;1.01.2021
M3U2PB14;M3U2MN14;1;Milling (Freze);SAE 1040 Cold Drawn;20x60 x 90mm;RCLNK260;01;1.01.2021
M2U1AN04;M3H2TN17;2;Lathe (Torna);2.0975 - C9580  CuAl10Ni;Ø24 x 21mm;RBCNB024;01;1.01.2021
M2U1AN04;M3H2MN21;2;Milling (Freze);EN 1.4305 - AISI 303;N/A;M3H2TN18;01;1.01.2021
M3H2MN21;M3H2TN18;1;Lathe (Torna);EN 1.4305 - AISI 303;Ø12 x 47mm;RSCNB012;01;1.01.2021
M2U1AN04;DIN471;2;;;;;01;1.01.2021
M2U1AN04;M3H2TN99;2;Lathe (Torna);EN 1.4057 - AISI 431;Ø25 x 78mm;RSCOB025;01;1.01.2021
M2U1AN04;M3H2MN22;2;Milling (Freze);EN 1.4057 - AISI 431;N/A;M3H2TN19;01;1.01.2021
M3H2MN22;M3H2TN19;1;Lathe (Torna);EN 1.4057 - AISI 431;Ø16 x 32mm;RSCOB016;01;1.01.2021
M2U1AN04;M3U2PB13;2;Cataphoresis (Kataforez);N/A;N/A;M3U2MN13;01;1.01.2021
M3U2PB13;M3U2MN13;1;Milling (Freze);St37;N/A;M3U2LN27;01;1.01.2021
M3U2MN13;M3U2LN27;1;Laser Cut (Lazer);St37;N/A;N/A;01;1.01.2021
M2U1AN04;M3U2PB15;1;Cataphoresis (Kataforez);N/A;N/A;M3U2MN15;01;1.01.2021
M3U2PB15;M3U2MN15;1;Milling (Freze);SAE 1040 Cold Drawn;20x60 x 90mm;RCLNK260;01;1.01.2021
M2U1AN04;DIN933;12;;;;;01;1.01.2021
M2U1AN04;M3M2PB30;1;Cataphoresis (Kataforez);N/A;N/A;M2M2WN30;01;1.01.2021
M3M2PB30;M2M2WN30;1;Welding (Kaynak);N/A;N/A;N/A;02;30.09.2022
M2M2WN30;M3M2LN31;1;Laser Cut (Lazer);St37;N/A;N/A;02;30.09.2022
M2M2WN30;M2M2DN36;2;Machining (İşleme);St37;N/A;M3M2LN36;01;1.01.2021
M2M2DN36;M3M2LN36;1;Laser Cut (Lazer);St37;N/A;N/A;01;1.01.2021
M2M2WN30;M3M2MN34;2;Milling (Freze);St37;N/A;M3M2LN34;01;1.01.2021
M3M2MN34;M3M2LN34;1;Laser Cut (Lazer);St37;N/A;N/A;02;24.10.2022
M2M2WN30;M3M2MN32;1;Milling (Freze);St37;N/A;M3M2BN32;02;24.10.2022
M3M2MN32;M3M2BN32;1;Bending (Büküm);St37;N/A;M3M2LN32;01;1.01.2021
M3M2BN32;M3M2LN32;1;Laser Cut (Lazer);St37;N/A;N/A;01;1.01.2021
M2M2WN30;M3M2LN37;2;Laser Cut (Lazer);St37;N/A;N/A;02;14.10.2022
M2U1AN04;M3M2PB11;2;Cataphoresis (Kataforez);N/A;N/A;M3M2MN01;01;1.01.2021
M3M2PB11;M3M2MN01;1;Milling (Freze);SAE 1040 Cold Drawn;12x12 x 175mm;RCLNK112;02;30.09.2022
M2U1AN04;M3M2MN02;1;Milling (Freze);EN 1.4057 - AISI 431;N/A;M3M2TN03;02;30.09.2022
M3M2MN02;M3M2TN03;1;Lathe (Torna);EN 1.4057 - AISI 431;Ø32 x 95mm;RSCOK032;01;1.01.2021
M2U1AN04;DIN912;2;;;;;01;1.01.2021
M2U1AN04;DIN127;2;;;;;01;1.01.2021
M2U1AN04;DIN127;18;;;;;01;1.01.2021
M2U1AN04;DIN7380;4;;;;;01;1.01.2021
TEKRMD_M1;DIN912;18;;;;;01;1.01.2021
TEKRMD_M1;DIN7991;8;;;;;01;1.01.2021
TEKRMD_M1;P3BUTR01;1;Lathe (Torna);POM (Derlin) - RED Colour;Ø30 x 10mm;RPCKB030;01;1.01.2021
TEKRMD_M1;M1CBRN03;2;Off the shelf (Hazır);N/A;N/A;N/A;01;1.01.2021
TEKRMD_M1;M3S1PB01;1;Cataphoresis (Kataforez);N/A;N/A;M2S1WN02;01;1.01.2021
M3S1PB01;M2S1WN02;1;Welding (Kaynak);N/A;N/A;N/A;01;1.01.2021
M2S1WN02;M2S2SN21;1;Machining (İşleme);St37;N/A;M3S2LN21;01;1.01.2021
M2S2SN21;M3S2LN21;1;Laser Cut (Lazer);St37;N/A;N/A;01;1.01.2021
M2S1WN02;M3CHEN02;1;Press (Pres);N/A;N/A;M2CHWN02;01;1.01.2021
M2S1WN02;M3S2LN22;1;Laser Cut (Lazer);St37;N/A;N/A;01;1.01.2021
TEKRMD_M1;M1WRRN01;2;Off the shelf (Hazır);N/A;N/A;N/A;01;1.01.2021
TEKRMD_M1;M3H1PB05;1;Cataphoresis (Kataforez);N/A;N/A;M2H1SN05;02;13.03.2026
M3H1PB05;M2H1SN05;1;Machining (İşleme);St37;N/A;M2H1WN05;02;13.03.2026
M2H1SN05;M2H1WN05;1;Welding (Kaynak);N/A;N/A;N/A;02;13.03.2026
M2H1WN05;M3H2BN05;1;Bending (Büküm);St37;N/A;M3H2LN65;02;13.03.2026
M3H2BN05;M3H2LN65;1;Laser Cut (Lazer);St37;N/A;N/A;02;13.03.2026
M2H1WN05;M3H2TN14;1;Lathe (Torna);SAE 1010 Cold Drawn;Ø20 x 38mm;RCCNB020;01;1.01.2021
M2H1WN05;M3H2TN52;1;Lathe (Torna);DIN2394 Çelik;Ø22x1.5 x 98mm;RCBNB022;01;1.01.2021
M2H1WN05;M3H2LN22;1;Laser Cut (Lazer);St37;N/A;N/A;01;13.03.2026
M2H1WN05;M3H2LN23;1;Laser Cut (Lazer);St37;N/A;N/A;01;13.03.2026
M2H1WN05;M2H2SN58;1;Machining (İşleme);St37;N/A;M3H2LN58;01;1.01.2021
